AID,package name,class token,class name,method type,method token,method name,method signature
A000000062010101,javacard.framework.service,5,CardRemoteObject,static,1,export,void(java.rmi.Remote)
A000000062010101,javacard.framework.service,5,CardRemoteObject,static,2,unexport,void(java.rmi.Remote)
A000000062010101,javacard.framework.service,6,Dispatcher,virtual,1,addService,void(javacard.framework.service.Service;byte)
A000000062010101,javacard.framework.service,6,Dispatcher,virtual,2,removeService,void(javacard.framework.service.Service;byte)
A000000062010101,javacard.framework.service,6,Dispatcher,virtual,3,dispatch,java.lang.Exception(javacard.framework.APDU;byte)
A000000062010101,javacard.framework.service,6,Dispatcher,virtual,4,process,void(javacard.framework.APDU)
A000000062010101,javacard.framework.service,7,ServiceException,static,1,throwIt,void(short)
A000000062010101,javacard.framework.service,7,ServiceException,virtual,1,getReason,short()
A000000062010101,javacard.framework.service,7,ServiceException,virtual,2,setReason,void(short)
A0000000620102,javacard.security,0,Key,virtual,0,clearKey,void()
A0000000620102,javacard.security,0,Key,virtual,1,getSize,short()
A0000000620102,javacard.security,0,Key,virtual,2,getType,byte()
A0000000620102,javacard.security,0,Key,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,34,AlgorithmParameterSpec
A0000000620102,javacard.security,4,SecretKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,4,SecretKey,virtual,1,getSize,short()
A0000000620102,javacard.security,4,SecretKey,virtual,2,getType,byte()
A0000000620102,javacard.security,4,SecretKey,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,27,DHKey,virtual,0,setP,void(byte[];short;short)
A0000000620102,javacard.security,27,DHKey,virtual,1,setQ,void(byte[];short;short)
A0000000620102,javacard.security,27,DHKey,virtual,2,setG,void(byte[];short;short)
A0000000620102,javacard.security,27,DHKey,virtual,3,getP,short(byte[];short)
A0000000620102,javacard.security,27,DHKey,virtual,4,getQ,short(byte[];short)
A0000000620102,javacard.security,27,DHKey,virtual,5,getG,short(byte[];short)
A0000000620102,javacard.security,2,PrivateKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,2,PrivateKey,virtual,1,getSize,short()
A0000000620102,javacard.security,2,PrivateKey,virtual,2,getType,byte()
A0000000620102,javacard.security,2,PrivateKey,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,3,PublicKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,3,PublicKey,virtual,1,getSize,short()
A0000000620102,javacard.security,3,PublicKey,virtual,2,getType,byte()
A0000000620102,javacard.security,3,PublicKey,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,1,DSAKey,virtual,0,getG,short(byte[];short)
A0000000620102,javacard.security,1,DSAKey,virtual,1,getP,short(byte[];short)
A0000000620102,javacard.security,1,DSAKey,virtual,2,getQ,short(byte[];short)
A0000000620102,javacard.security,1,DSAKey,virtual,3,setG,void(byte[];short;short)
A0000000620102,javacard.security,1,DSAKey,virtual,4,setP,void(byte[];short;short)
A0000000620102,javacard.security,1,DSAKey,virtual,5,setQ,void(byte[];short;short)
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,0,clearKey,void()
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,1,getSize,short()
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,2,getType,byte()
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,3,isInitialized,boolean()
A0000000620102,javacard.security,5,DSAPrivateKey,virtual,4,getG,short(byte[];short)
